prefix,country,market_id
405,US,KY_LEX
406,US,KY_LEX
410,US,KY_LEX
413,US,KY_LEX
414,US,KY_LEX
417,US,KY_LEX
418,US,KY_LEX
419,US,KY_LEX
400,US,KY_LOU
401,US,KY_LOU
402,US,KY_LOU
471,US,KY_LOU
700,US,LA_NEW
701,US,LA_NEW
703,US,LA_NEW
704,US,LA_NEW
705,US,LA_NEW
706,US,LA_NEW
707,US,LA_NEW
708,US,LA_NEW
710,US,LA_SHR
711,US,LA_SHR
712,US,LA_SHR
713,US,LA_SHR
714,US,LA_SHR
756,US,LA_SHR
759,US,LA_SHR
014,US,MA_BOS
015,US,MA_BOS
016,US,MA_BOS
017,US,MA_BOS
018,US,MA_BOS
019,US,MA_BOS
020,US,MA_BOS
021,US,MA_BOS
022,US,MA_BOS
023,US,MA_BOS
024,US,MA_BOS
025,US,MA_BOS
026,US,MA_BOS
027,US,MA_BOS
028,US,MA_BOS
029,US,MA_BOS
055,US,MA_BOS
010,US,MA_SPR
011,US,MA_SPR
012,US,MA_SPR
013,US,MA_SPR
197,US,MD_BAL
198,US,MD_BAL
199,US,MD_BAL
207,US,MD_BAL
208,US,MD_BAL
209,US,MD_BAL
210,US,MD_BAL
211,US,MD_BAL
212,US,MD_BAL
214,US,MD_BAL
216,US,MD_BAL
218,US,MD_BAL
219,US,MD_BAL
038,US,ME_AUG
039,US,ME_AUG
040,US,ME_AUG
041,US,ME_AUG
042,US,ME_AUG
043,US,ME_AUG
044,US,ME_AUG
045,US,ME_AUG
046,US,ME_AUG
047,US,ME_AUG
048,US,ME_AUG
049,US,ME_AUG
480,US,MI_DET
481,US,MI_DET
482,US,MI_DET
483,US,MI_DET
484,US,MI_DET
485,US,MI_DET
492,US,MI_DET
488,US,MI_RAP
489,US,MI_RAP
490,US,MI_RAP
493,US,MI_RAP
494,US,MI_RAP
495,US,MI_RAP
496,US,MI_RAP
486,US,MI_SAG
487,US,MI_SAG
497,US,MI_SAG
498,US,MN_DUL
499,US,MN_DUL
545,US,MN_DUL
548,US,MN_DUL
556,US,MN_DUL
557,US,MN_DUL
558,US,MN_DUL
550,US,MN_MIN
551,US,MN_MIN
553,US,MN_MIN
554,US,MN_MIN
555,US,MN_MIN
560,US,MN_MIN
563,US,MN_STC
564,US,MN_STC
420,US,MO_GIR
629,US,MO_GIR
636,US,MO_GIR
637,US,MO_GIR
638,US,MO_GIR
639,US,MO_GIR
650,US,MO_JEF
651,US,MO_JEF
652,US,MO_JEF
653,US,MO_JEF
647,US,MO_JOP
648,US,MO_JOP
654,US,MO_JOP
655,US,MO_JOP
656,US,MO_JOP
657,US,MO_JOP
658,US,MO_JOP
667,US,MO_JOP
640,US,MO_KAN
641,US,MO_KAN
644,US,MO_KAN
645,US,MO_KAN
646,US,MO_KAN
649,US,MO_KAN
660,US,MO_KAN
661,US,MO_KAN
662,US,MO_KAN
664,US,MO_KAN
665,US,MO_KAN
666,US,MO_KAN
620,US,MO_STL
622,US,MO_STL
630,US,MO_STL
631,US,MO_STL
633,US,MO_STL
387,US,MS_JAC
389,US,MS_JAC
390,US,MS_JAC
391,US,MS_JAC
392,US,MS_JAC
393,US,MS_JAC
396,US,MS_JAC
397,US,MS_JAC
590,US,MT_BIL
592,US,MT_BIL
591,US,MT_BIL
593,US,MT_BIL
821,US,MT_BIL
824,US,MT_BIL
828,US,MT_BIL
830,US,MT_BIL
594,US,MT_MIS
595,US,MT_MIS
596,US,MT_MIS
597,US,MT_MIS
598,US,MT_MIS
599,US,MT_MIS
280,US,NC_CHA
281,US,NC_CHA
282,US,NC_CHA
283,US,NC_CHA
286,US,NC_CHA
297,US,NC_CHA
275,US,NC_RAL
276,US,NC_RAL
277,US,NC_RAL
278,US,NC_RAL
284,US,NC_WIL
285,US,NC_WIL
565,US,ND_FAR
566,US,ND_FAR
567,US,ND_FAR
580,US,ND_FAR
581,US,ND_FAR
582,US,ND_FAR
583,US,ND_BIS
584,US,ND_BIS
585,US,ND_BIS
586,US,ND_BIS
587,US,ND_BIS
588,US,ND_BIS
690,US,NE_NPL
691,US,NE_NPL
692,US,NE_NPL
693,US,NE_NPL
807,US,NE_NPL
822,US,NE_NPL
515,US,NE_OMA
516,US,NE_OMA
680,US,NE_OMA
681,US,NE_OMA
683,US,NE_OMA
684,US,NE_OMA
685,US,NE_OMA
686,US,NE_OMA
687,US,NE_OMA
688,US,NE_OMA
689,US,NE_OMA
030,US,NH_BRI
031,US,NH_BRI
032,US,NH_BRI
033,US,NH_BRI
034,US,NH_BRI
035,US,NH_BRI
036,US,NH_BRI
037,US,NH_BRI
050,US,NH_BRI
051,US,NH_BRI
056,US,NH_BRI
057,US,NH_BRI
058,US,NH_BRI
059,US,NH_BRI
070,US,NJ_ELI
071,US,NJ_ELI
072,US,NJ_ELI
073,US,NJ_ELI
074,US,NJ_ELI
075,US,NJ_ELI
076,US,NJ_ELI
077,US,NJ_ELI
078,US,NJ_ELI
079,US,NJ_ELI
085,US,NJ_ELI
086,US,NJ_ELI
087,US,NJ_ELI
088,US,NJ_ELI
089,US,NJ_ELI
811,US,NM_ALB
870,US,NM_ALB
871,US,NM_ALB
872,US,NM_ALB
873,US,NM_ALB
874,US,NM_ALB
875,US,NM_ALB
877,US,NM_ALB
878,US,NM_ALB
879,US,NM_ALB
883,US,NM_ALB
884,US,NM_ALB
889,US,NV_VEG
890,US,NV_VEG
891,US,NV_VEG
893,US,NV_VEG
894,US,NV_REN
895,US,NV_REN
897,US,NV_REN
898,US,NV_REN
961,US,NV_REN
052,US,NY_ALB
053,US,NY_ALB
054,US,NY_ALB
120,US,NY_ALB
121,US,NY_ALB
122,US,NY_ALB
123,US,NY_ALB
124,US,NY_ALB
125,US,NY_ALB
126,US,NY_ALB
127,US,NY_ALB
128,US,NY_ALB
129,US,NY_ALB
005,US,NY_BRN
100,US,NY_BRN
101,US,NY_BRN
102,US,NY_BRN
103,US,NY_BRN
104,US,NY_BRN
110,US,NY_BRN
111,US,NY_BRN
112,US,NY_BRN
113,US,NY_BRN
114,US,NY_BRN
115,US,NY_BRN
116,US,NY_BRN
117,US,NY_BRN
118,US,NY_BRN
119,US,NY_BRN
140,US,NY_BUF
141,US,NY_BUF
142,US,NY_BUF
143,US,NY_BUF
147,US,NY_BUF
137,US,NY_ELM
138,US,NY_ELM
139,US,NY_ELM
148,US,NY_ELM
149,US,NY_ELM
169,US,NY_ELM
188,US,NY_ELM
144,US,NY_ROC
145,US,NY_ROC
146,US,NY_ROC
130,US,NY_SYR
131,US,NY_SYR
132,US,NY_SYR
133,US,NY_SYR
134,US,NY_SYR
135,US,NY_SYR
136,US,NY_SYR
450,US,OH_CIN
451,US,OH_CIN
452,US,OH_CIN
459,US,OH_CIN
470,US,OH_CIN
440,US,OH_CLE
441,US,OH_CLE
442,US,OH_CLE
443,US,OH_CLE
444,US,OH_CLE
445,US,OH_CLE
