market_id,prefix
FL_LAK,327
FL_LAK,328
FL_LAK,329
FL_LAK,335
FL_LAK,336
FL_LAK,337
FL_LAK,338
FL_LAK,342
FL_LAK,344
FL_LAK,346
FL_LAK,347
FL_LAK,332
FL_LAK,333
FL_LAK,334
FL_LAK,339
FL_LAK,341
FL_LAK,349
FL_MIA,330
FL_MIA,331
FL_MIA,332
FL_MIA,333
FL_MIA,334
FL_MIA,339
FL_MIA,341
FL_MIA,349
FL_MIA,328
FL_MIA,329
FL_MIA,335
FL_MIA,336
FL_MIA,337
FL_MIA,338
FL_MIA,342
FL_MIA,347
FL_TAL,323
FL_TAL,324
FL_TAL,315
FL_TAL,316
FL_TAL,317
FL_TAL,320
FL_TAL,321
FL_TAL,322
FL_TAL,325
FL_TAL,326
FL_TAL,398
GA_ATL,300
GA_ATL,301
GA_ATL,302
GA_ATL,303
GA_ATL,305
GA_ATL,306
GA_ATL,311
GA_ATL,399
GA_ATL,304
GA_ATL,307
GA_ATL,308
GA_ATL,309
GA_ATL,310
GA_ATL,312
GA_MAC,310
GA_MAC,312
GA_MAC,300
GA_MAC,302
GA_MAC,304
GA_MAC,306
GA_MAC,308
GA_MAC,309
GA_MAC,318
GA_MAC,319
GA_SAV,299
GA_SAV,304
GA_SAV,313
GA_SAV,314
GA_SAV,315
GA_SAV,294
GA_SAV,310
GA_SAV,312
GA_SAV,316
GA_SAV,317
GA_TIF,316
GA_TIF,317
GA_TIF,398
GA_TIF,310
GA_TIF,312
GA_TIF,313
GA_TIF,315
GA_TIF,318
GA_TIF,319
GA_TIF,320
GA_TIF,323
IA_CED,522
IA_CED,523
IA_CED,524
IA_CED,506
IA_CED,507
IA_CED,520
IA_CED,521
IA_CED,525
IA_CED,526
IA_CED,527
IA_CED,528
IA_DES,500
IA_DES,501
IA_DES,502
IA_DES,503
IA_DES,504
IA_DES,505
IA_DES,508
IA_DES,509
IA_DES,514
IA_DES,506
IA_DES,507
IA_DES,510
IA_DES,511
IA_DES,512
IA_DES,513
IA_DES,515
IA_DES,516
IA_DES,520
IA_DES,521
IA_DES,522
IA_DES,523
IA_DES,524
IA_DES,525
IA_DES,526
IA_DES,527
IA_DES,528
IA_DUB,506
IA_DUB,507
IA_DUB,520
IA_DUB,521
IA_DUB,538
IA_DUB,522
IA_DUB,523
IA_DUB,524
IA_DUB,526
IA_DUB,527
IA_DUB,528
IA_DUB,610
ID_TWI,832
ID_TWI,833
ID_TWI,834
ID_TWI,836
ID_TWI,837
ID_TWI,979
ID_TWI,835
ID_TWI,838
ID_TWI,843
IL_BLO,609
IL_BLO,615
IL_BLO,616
IL_BLO,617
IL_BLO,618
IL_BLO,604
IL_BLO,612
IL_BLO,613
IL_BLO,614
IL_BLO,619
IL_BLO,624
IL_BLO,625
IL_BLO,626
IL_BLO,627
IL_CHI,600
IL_CHI,601
IL_CHI,602
IL_CHI,603
IL_CHI,606
IL_CHI,607
IL_CHI,608
IL_CHI,463
IL_CHI,464
IL_CHI,604
IL_CHI,605
IL_CHI,609
IL_CHI,610
IL_CHI,611
IL_CHI,613
IL_JOL,604
IL_JOL,605
IL_JOL,601
IL_JOL,603
IL_JOL,606
IL_JOL,607
IL_JOL,608
IL_JOL,609
IL_JOL,613
IL_QUI,623
IL_QUI,634
IL_QUI,635
IL_QUI,526
IL_QUI,614
IL_QUI,626
IL_QUI,652
IL_RFD,610
IL_RFD,611
IL_RFD,531
IL_RFD,535
IL_RFD,600
IL_RFD,601
IL_RFD,602
IL_RFD,603
IL_RFD,605
IL_RFD,612
IL_RFD,613
IL_ROC,525
IL_ROC,526
IL_ROC,527
IL_ROC,528
IL_ROC,612
IL_ROC,613
IL_ROC,614
IL_ROC,522
IL_ROC,523
IL_ROC,524
IL_ROC,610
IL_ROC,615
IL_ROC,616
IL_ROC,623
IL_ROC,626
IL_ROC,627
IL_TAY,625
IL_TAY,626
IL_TAY,627
IL_TAY,614
IL_TAY,615
IL_TAY,616
IL_TAY,617
IL_TAY,618
IL_TAY,619
IL_TAY,620
IL_TAY,622
IL_TAY,623
IL_TAY,624
IN_EVA,423
IN_EVA,424
IN_EVA,475
IN_EVA,476
IN_EVA,477
IN_EVA,628
IN_EVA,422
IN_EVA,471
IN_EVA,472
IN_EVA,474
IN_EVA,478
IN_EVA,624
IN_EVA,629
IN_FTW,467
IN_FTW,468
IN_FTW,469
IN_FTW,435
IN_FTW,458
IN_FTW,465
IN_FTW,466
IN_FTW,473
IN_GRY,463
IN_GRY,464
IN_GRY,465
IN_GRY,466
IN_GRY,479
IN_GRY,490
IN_GRY,491
IN_GRY,604
IN_GRY,606
IN_GRY,607
IN_GRY,608
IN_GRY,609
IN_IND,460
IN_IND,461
IN_IND,462
IN_IND,472
IN_IND,473
IN_IND,474
IN_IND,479
IN_IND,463
IN_IND,464
IN_IND,465
IN_IND,466
IN_IND,467
IN_IND,468
IN_IND,469
IN_IND,470
IN_IND,471
IN_IND,475
IN_IND,476
IN_IND,477
IN_IND,478
IN_SBD,465
IN_SBD,466
IN_SBD,491
IN_SBD,435
IN_SBD,463
IN_SBD,464
IN_SBD,467
IN_SBD,468
IN_SBD,469
IN_SBD,479
IN_SBD,490
IN_SBD,492
IN_SBD,494
IN_TER,478
IN_TER,619
IN_TER,624
IN_TER,474
IN_TER,475
IN_TER,476
IN_TER,477
IN_TER,479
IN_TER,609
IN_TER,617
IN_TER,618
KS_HUT,668
KS_HUT,669
KS_HUT,670
KS_HUT,671
KS_HUT,672
KS_HUT,673
KS_HUT,674
KS_HUT,675
KS_HUT,676
KS_HUT,677
KS_HUT,678
KS_HUT,679
KS_HUT,664
KS_HUT,665
KS_HUT,666
KS_HUT,667
KY_BOW,421
KY_BOW,422
KY_BOW,427
KY_BOW,370
KY_BOW,371
KY_BOW,372
KY_BOW,382
KY_BOW,385
KY_BOW,420
KY_BOW,423
KY_BOW,424
KY_BOW,425
KY_BOW,426
KY_LEX,403
KY_LEX,404
KY_LEX,405
KY_LEX,406
KY_LEX,410
KY_LEX,413
KY_LEX,414
KY_LEX,417
KY_LEX,418
KY_LEX,419
KY_LEX,400
KY_LEX,401
KY_LEX,402
KY_LEX,407
KY_LEX,408
KY_LEX,409
KY_LEX,411
KY_LEX,412
KY_LEX,415
KY_LEX,416
KY_LEX,425
KY_LEX,426
KY_LOU,400
KY_LOU,401
KY_LOU,402
KY_LOU,471
KY_LOU,403
KY_LOU,404
KY_LOU,405
KY_LOU,406
KY_LOU,427
KY_LOU,470
KY_LOU,472
KY_LOU,474
KY_LOU,475
LA_NEW,700
LA_NEW,701
LA_NEW,703
LA_NEW,704
LA_NEW,705
LA_NEW,706
LA_NEW,707
LA_NEW,708
LA_NEW,365
LA_NEW,366
LA_NEW,394
LA_NEW,395
LA_NEW,396
LA_NEW,713
LA_SHR,710
LA_SHR,711
LA_SHR,712
LA_SHR,713
LA_SHR,714
LA_SHR,756
LA_SHR,759
LA_SHR,716
LA_SHR,717
LA_SHR,718
LA_SHR,755
LA_SHR,757
MA_BOS,014
MA_BOS,015
MA_BOS,016
MA_BOS,017
MA_BOS,018
MA_BOS,019
MA_BOS,020
MA_BOS,021
MA_BOS,022
MA_BOS,023
MA_BOS,024
MA_BOS,025
MA_BOS,026
MA_BOS,027
MA_BOS,028
MA_BOS,029
MA_BOS,055
MA_BOS,010
MA_BOS,011
MA_BOS,012
MA_BOS,013
MA_BOS,030
MA_BOS,031
MA_BOS,032
MA_BOS,033
MA_BOS,034
MA_BOS,035
MA_BOS,036
MA_BOS,037
MA_BOS,038
MA_SPR,010
MA_SPR,011
MA_SPR,012
MA_SPR,013
MA_SPR,014
MA_SPR,015
MA_SPR,016
MA_SPR,017
MA_SPR,018
MA_SPR,019
MA_SPR,020
MA_SPR,021
MA_SPR,022
MA_SPR,023
MA_SPR,024
MA_SPR,027
MA_SPR,028
MA_SPR,029
MA_SPR,060
MA_SPR,061
MA_SPR,062
MA_SPR,063
MA_SPR,064
MA_SPR,065
MA_SPR,066
MA_SPR,067
MA_SPR,068
MA_SPR,069
MD_BAL,197
MD_BAL,198
MD_BAL,199
MD_BAL,207
MD_BAL,208
MD_BAL,209
MD_BAL,210
MD_BAL,211
MD_BAL,212
MD_BAL,214
MD_BAL,216
MD_BAL,218
MD_BAL,219
MD_BAL,200
MD_BAL,201
MD_BAL,202
MD_BAL,203
MD_BAL,204
MD_BAL,205
MD_BAL,206
MD_BAL,217
MD_BAL,227
ME_AUG,038
ME_AUG,039
ME_AUG,040
ME_AUG,041
ME_AUG,042
ME_AUG,043
ME_AUG,044
ME_AUG,045
ME_AUG,046
ME_AUG,047
ME_AUG,048
ME_AUG,049
ME_AUG,030
ME_AUG,031
ME_AUG,032
ME_AUG,033
ME_AUG,034
ME_AUG,035
ME_AUG,036
ME_AUG,037
ME_AUG,050
ME_AUG,051
ME_AUG,055
ME_AUG,056
ME_AUG,057
ME_AUG,058
ME_AUG,059
MI_DET,480
MI_DET,481
MI_DET,482
MI_DET,483
MI_DET,484
MI_DET,485
MI_DET,492
MI_DET,434
MI_DET,435
MI_DET,436
MI_DET,486
MI_DET,487
MI_DET,488
MI_DET,489
MI_RAP,488
MI_RAP,489
MI_RAP,490
MI_RAP,493
MI_RAP,494
MI_RAP,495
MI_RAP,496
MI_RAP,465
MI_RAP,466
MI_RAP,491
MI_RAP,492
MI_SAG,486
MI_SAG,487
MI_SAG,497
MI_SAG,483
MI_SAG,484
MI_SAG,485
MI_SAG,488
MI_SAG,489
MI_SAG,496
MN_DUL,498
MN_DUL,499
MN_DUL,545
MN_DUL,548
MN_DUL,556
MN_DUL,557
MN_DUL,558
MN_DUL,540
MN_DUL,547
MN_DUL,564
MN_DUL,566
MN_MIN,550
MN_MIN,551
MN_MIN,553
MN_MIN,554
MN_MIN,555
MN_MIN,560
MN_MIN,540
MN_MIN,546
MN_MIN,547
MN_MIN,559
MN_STC,563
MN_STC,564
MN_STC,553
MN_STC,554
MN_STC,560
MN_STC,561
MN_STC,562
MN_STC,565
MO_GIR,420
MO_GIR,629
MO_GIR,636
MO_GIR,637
MO_GIR,638
MO_GIR,639
MO_GIR,423
MO_GIR,622
MO_GIR,628
MO_GIR,380
MO_GIR,382
MO_JEF,650
MO_JEF,651
MO_JEF,652
MO_JEF,653
MO_JEF,630
MO_JEF,631
MO_JEF,633
MO_JEF,634
MO_JEF,635
MO_JEF,636
MO_JEF,637
MO_JEF,638
MO_JEF,639
MO_JEF,640
MO_JEF,641
MO_JEF,644
MO_JEF,645
MO_JEF,646
MO_JEF,647
MO_JEF,648
MO_JEF,649
MO_JEF,654
MO_JEF,655
MO_JEF,656
MO_JEF,657
MO_JEF,658
MO_JOP,647
MO_JOP,648
MO_JOP,654
MO_JOP,655
MO_JOP,656
MO_JOP,657
MO_JOP,658
MO_JOP,667
MO_JOP,650
MO_JOP,651
MO_JOP,652
MO_JOP,653
MO_JOP,673
MO_JOP,726
MO_JOP,727
MO_JOP,743
MO_KAN,640
MO_KAN,641
MO_KAN,644
MO_KAN,645
MO_KAN,646
MO_KAN,649
MO_KAN,660
MO_KAN,661
MO_KAN,662
MO_KAN,664
MO_KAN,665
MO_KAN,666
MO_KAN,647
MO_KAN,648
MO_KAN,650
MO_KAN,651
MO_KAN,652
MO_KAN,653
MO_STL,620
MO_STL,622
MO_STL,630
MO_STL,631
MO_STL,633
MO_STL,623
MO_STL,626
MO_STL,634
MO_STL,636
MO_STL,650
MO_STL,651
MO_STL,652
MS_JAC,387
MS_JAC,389
MS_JAC,390
MS_JAC,391
MS_JAC,392
MS_JAC,393
MS_JAC,396
MS_JAC,397
MS_JAC,386
MS_JAC,388
MS_JAC,394
MS_JAC,395
MT_BIL,590
MT_BIL,591
MT_BIL,592
MT_BIL,593
MT_BIL,821
MT_BIL,824
MT_BIL,828
MT_BIL,830
MT_BIL,575
MT_BIL,576
MT_BIL,577
MT_BIL,594
MT_BIL,595
MT_BIL,596
MT_BIL,597
MT_BIL,598
MT_BIL,827
MT_MIS,594
MT_MIS,595
MT_MIS,596
MT_MIS,597
MT_MIS,598
MT_MIS,599
MT_MIS,590
MT_MIS,591
MT_MIS,593
MT_MIS,835
MT_MIS,838
NC_CHA,280
NC_CHA,281
NC_CHA,282
NC_CHA,283
NC_CHA,286
NC_CHA,297
NC_CHA,287
NC_CHA,288
NC_CHA,270
NC_CHA,271
NC_CHA,272
NC_CHA,293
NC_RAL,275
NC_RAL,276
NC_RAL,277
NC_RAL,278
NC_RAL,270
NC_RAL,271
NC_RAL,272
NC_RAL,273
NC_RAL,279
NC_RAL,283
NC_RAL,284
NC_RAL,285
NC_WIL,284
NC_WIL,285
NC_WIL,278
NC_WIL,279
NC_WIL,283
NC_WIL,294
NC_WIL,295
ND_FAR,565
ND_FAR,566
ND_FAR,567
ND_FAR,580
ND_FAR,581
ND_FAR,582
ND_FAR,562
ND_FAR,563
ND_FAR,564
ND_FAR,572
ND_FAR,574
ND_FAR,583
ND_FAR,584
ND_BIS,583
ND_BIS,584
ND_BIS,585
ND_BIS,586
ND_BIS,587
ND_BIS,588
ND_BIS,565
ND_BIS,574
ND_BIS,576
ND_BIS,580
ND_BIS,581
ND_BIS,582
ND_BIS,592
ND_BIS,593
NE_NPL,690
NE_NPL,691
NE_NPL,692
NE_NPL,693
NE_NPL,807
NE_NPL,822
NE_NPL,676
NE_NPL,677
NE_NPL,686
NE_NPL,687
NE_NPL,688
NE_NPL,689
NE_NPL,820
NE_OMA,515
NE_OMA,516
NE_OMA,680
NE_OMA,681
NE_OMA,683
NE_OMA,684
NE_OMA,685
NE_OMA,686
NE_OMA,687
NE_OMA,688
NE_OMA,689
NE_OMA,510
NE_OMA,511
NE_OMA,514
NE_OMA,644
NE_OMA,645
NH_BRI,030
NH_BRI,031
NH_BRI,032
NH_BRI,033
NH_BRI,034
NH_BRI,035
NH_BRI,036
NH_BRI,037
NH_BRI,050
NH_BRI,051
NH_BRI,056
NH_BRI,057
NH_BRI,058
NH_BRI,059
NH_BRI,038
NH_BRI,039
NH_BRI,040
NH_BRI,041
NH_BRI,042
NH_BRI,052
NH_BRI,053
NH_BRI,054
NJ_ELI,070
NJ_ELI,071
NJ_ELI,072
NJ_ELI,073
NJ_ELI,074
NJ_ELI,075
NJ_ELI,076
NJ_ELI,077
NJ_ELI,078
NJ_ELI,079
NJ_ELI,085
NJ_ELI,086
NJ_ELI,087
NJ_ELI,088
NJ_ELI,089
NJ_ELI,080
NJ_ELI,081
NJ_ELI,082
NJ_ELI,083
NJ_ELI,084
NJ_ELI,180
NJ_ELI,181
NJ_ELI,189
NM_ALB,811
NM_ALB,870
NM_ALB,871
NM_ALB,872
NM_ALB,873
NM_ALB,874
NM_ALB,875
NM_ALB,877
NM_ALB,878
NM_ALB,879
NM_ALB,883
NM_ALB,884
NM_ALB,810
NM_ALB,812
NM_ALB,813
NM_ALB,859
NM_ALB,860
NM_ALB,865
NV_VEG,889
NV_VEG,890
NV_VEG,891
NV_VEG,893
NV_VEG,847
NV_VEG,860
NV_VEG,863
NV_VEG,864
NV_REN,894
NV_REN,895
NV_REN,897
NV_REN,898
NV_REN,961
NV_REN,956
NV_REN,957
NV_REN,958
NV_REN,959
NY_ALB,052
NY_ALB,053
NY_ALB,054
NY_ALB,120
NY_ALB,121
NY_ALB,122
NY_ALB,123
NY_ALB,124
NY_ALB,125
NY_ALB,126
NY_ALB,127
NY_ALB,128
NY_ALB,129
NY_ALB,130
NY_ALB,131
NY_ALB,132
NY_ALB,133
NY_ALB,134
NY_ALB,135
NY_ALB,136
NY_ALB,137
NY_ALB,138
NY_ALB,139
NY_BRN,005
NY_BRN,100
NY_BRN,101
NY_BRN,102
NY_BRN,103
NY_BRN,104
NY_BRN,110
NY_BRN,111
NY_BRN,112
NY_BRN,113
NY_BRN,114
NY_BRN,115
NY_BRN,116
NY_BRN,117
NY_BRN,118
NY_BRN,119
NY_BRN,068
NY_BRN,069
NY_BRN,105
NY_BRN,106
NY_BRN,107
NY_BRN,108
NY_BRN,109
NY_BUF,140
NY_BUF,141
NY_BUF,142
NY_BUF,143
NY_BUF,147
NY_BUF,130
NY_BUF,131
NY_BUF,132
NY_BUF,133
NY_BUF,134
NY_BUF,135
NY_BUF,136
NY_BUF,144
NY_BUF,145
NY_BUF,146
NY_BUF,148
NY_BUF,149
NY_ELM,137
NY_ELM,138
NY_ELM,139
NY_ELM,148
NY_ELM,149
NY_ELM,169
NY_ELM,188
NY_ELM,130
NY_ELM,131
NY_ELM,132
NY_ELM,133
NY_ELM,134
NY_ELM,135
NY_ELM,144
NY_ELM,145
NY_ELM,146
NY_ELM,147
NY_ROC,144
NY_ROC,145
NY_ROC,146
NY_ROC,130
NY_ROC,131
NY_ROC,132
NY_ROC,133
NY_ROC,134
NY_ROC,135
NY_ROC,140
NY_ROC,141
NY_ROC,142
NY_ROC,143
NY_ROC,147
NY_ROC,148
NY_ROC,149
NY_SYR,130
NY_SYR,131
NY_SYR,132
NY_SYR,133
NY_SYR,134
NY_SYR,135
NY_SYR,136
NY_SYR,120
NY_SYR,121
NY_SYR,122
NY_SYR,123
NY_SYR,137
NY_SYR,138
NY_SYR,139
NY_SYR,144
NY_SYR,145
NY_SYR,146
OH_CIN,450
OH_CIN,451
OH_CIN,452
OH_CIN,459
OH_CIN,470
OH_CIN,410
OH_CIN,431
OH_CIN,453
OH_CIN,454
OH_CIN,455
OH_CIN,456
OH_CIN,471
OH_CIN,473
OH_CLE,440
OH_CLE,441
OH_CLE,442
OH_CLE,443
OH_CLE,444
OH_CLE,445
OH_CLE,446
OH_CLE,447
OH_CLE,448
OH_CLE,449
OH_CLE,433
OH_CLE,434
OH_CLE,436
OH_CLE,437
OH_CLE,438
OH_CLE,439
OH_COL,430
OH_COL,431
OH_COL,432
OH_COL,433
OH_COL,437
OH_COL,438
OH_COL,453
OH_COL,454
OH_COL,455
OH_COL,434
OH_COL,435
OH_COL,436
OH_COL,439
OH_COL,440
OH_COL,441
OH_COL,442
OH_COL,443
OH_COL,444
OH_COL,445
OH_COL,446
OH_COL,447
OH_COL,448
OH_COL,449
OH_COL,450
OH_COL,451
OH_COL,452
OH_COL,456
OH_COL,457
OH_COL,458
OH_COL,459
OH_TOL,434
OH_TOL,435
OH_TOL,436
OH_TOL,458
OH_TOL,433
OH_TOL,448
OH_TOL,449
OH_TOL,480
OH_TOL,481
OH_TOL,482
OH_TOL,483
OH_TOL,492
OK_OKC,730
OK_OKC,731
OK_OKC,734
OK_OKC,735
OK_OKC,736
OK_OKC,737
OK_OKC,738
OK_OKC,745
OK_OKC,747
OK_OKC,748
OK_OKC,740
OK_OKC,741
OK_OKC,743
OK_OKC,744
OK_OKC,746
OK_OKC,749
OK_TUL,740
OK_TUL,741
OK_TUL,743
OK_TUL,744
OK_TUL,746
OK_TUL,648
OK_TUL,667
OK_TUL,673
OK_TUL,727
OK_TUL,729
OK_TUL,748
OK_TUL,749
OR_MED,955
OR_MED,960
OR_MED,974
OR_MED,975
OR_MED,976
OR_MED,977
OR_MED,959
OR_MED,961
OR_MED,973
OR_PEN,978
OR_PEN,989
OR_PEN,993
OR_PEN,835
OR_PEN,836
OR_PEN,837
OR_PEN,977
